YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2021,1,AK,Total Electric Power Industry,Total,593896
2021,1,AK,Total Electric Power Industry,Coal,72164
2021,1,AK,Total Electric Power Industry,Hydroelectric Conventional,171307
2021,1,AK,Total Electric Power Industry,Natural Gas,266928
2021,1,AK,Total Electric Power Industry,Other,-318
2021,1,AK,Total Electric Power Industry,Petroleum,68802
2021,1,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0
2021,1,AK,Total Electric Power Industry,Other Biomass,3561
2021,1,AK,Total Electric Power Industry,Wind,11452
2021,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Industrial Power",Total,9752
2021,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6496
2021,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,3256
2021,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Commercial Power",Total,32264
2021,1,AK,"Combined Heat and Power, Commercial Power",Coal,11558
2021,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,17161
2021,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,1
2021,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-17
2021,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,3561
2021,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Electric Power",Total,15505
2021,1,AK,"Combined Heat and Power, Electric Power",Coal,15505
2021,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Electric Generators, Independent Power Producers",Total,3934
2021,1,AK,"Electric Generators, Independent Power Producers",Wind,3934
2021,1,AK,"Electric Generators, Electric Utilities",Total,532441
2021,1,AK,"Electric Generators, Electric Utilities",Coal,45101
2021,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,154146
2021,1,AK,"Electric Generators, Electric Utilities",Natural Gas,260431
2021,1,AK,"Electric Generators, Electric Utilities",Other,-318
2021,1,AK,"Electric Generators, Electric Utilities",Petroleum,65563
2021,1,AK,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2021,1,AK,"Electric Generators, Electric Utilities",Wind,7518
2021,1,AL,Total Electric Power Industry,Total,12574679
2021,1,AL,Total Electric Power Industry,Coal,2096650
2021,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1149996
2021,1,AL,Total Electric Power Industry,Natural Gas,4874173
2021,1,AL,Total Electric Power Industry,Nuclear,4122597
2021,1,AL,Total Electric Power Industry,Other Gases,6
2021,1,AL,Total Electric Power Industry,Other,2
2021,1,AL,Total Electric Power Industry,Petroleum,2919
2021,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,19127
2021,1,AL,Total Electric Power Industry,Other Biomass,3886
2021,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,305322
2021,1,AL,"Combined Heat and Power, Industrial Power",Total,455390
2021,1,AL,"Combined Heat and Power, Industrial Power",Coal,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,149858
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,6
2021,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,204
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,305322
2021,1,AL,"Combined Heat and Power, Electric Power",Total,416382
2021,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,416382
