Player,Team,Age,GamesPlayed,Wins,Losses,Min,Points,FGM,FGA,FG_Percent,3PM,3PA,3P_Percent,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
Marcus Smart,WAS,31,31,17,14,628.2,286,95,242,39.3,47,136,34.6,49,64,76.6,18,49,67,105,52,37,9,51,610,0,0,39
Nicolas Batum,LAC,36,71,41,30,1262.0,279,93,218,42.7,78,184,42.4,15,18,83.3,45,155,200,81,31,48,35,102,859,0,0,129
Tidjane Salan,CHA,19,51,11,40,989.4,279,90,270,33.3,46,158,29.1,53,73,72.6,64,164,228,54,46,27,12,63,705,2,0,-235
Kyle Anderson,MIA,31,52,25,27,783.6,275,108,232,46.6,23,62,37.1,36,50,72.0,42,119,161,117,30,33,24,62,785,1,0,-68
Neemias Queta,BOS,25,56,42,14,772.1,275,117,182,64.3,0,3,0.0,41,55,74.5,81,132,213,35,37,15,35,97,696,0,0,158
Isaac Okoro,CLE,24,48,39,9,903.0,272,97,218,44.5,46,127,36.2,32,45,71.1,41,65,106,62,21,27,16,92,600,0,0,214
Talen Horton-Tucker,CHI,24,50,20,30,553.7,270,98,223,43.9,35,96,36.5,39,57,68.4,15,69,84,64,33,17,10,49,515,0,0,-25
Vasilije Mici,PHX,31,39,8,31,775.2,269,95,273,34.8,45,125,36.0,34,41,82.9,20,69,89,127,76,15,0,45,535,1,0,-121
Svi Mykhailiuk,UTA,27,31,5,26,600.7,268,95,251,37.8,57,171,33.3,21,26,80.8,15,56,71,56,43,17,6,39,463,0,0,-49
Alec Burks,MIA,33,41,21,20,703.4,267,84,202,41.6,65,152,42.8,34,45,75.6,13,90,103,45,19,23,6,29,526,0,0,54
Lonzo Ball,CHI,27,35,16,19,777.0,267,89,243,36.6,67,195,34.4,22,27,81.5,25,93,118,115,41,47,17,55,732,0,0,100
Eric Gordon,PHI,36,39,12,27,768.5,266,87,204,42.6,56,137,40.9,36,48,75.0,8,38,46,65,28,26,12,32,505,0,0,-72
Ryan Rollins,MIL,22,48,23,25,630.6,263,100,211,47.4,35,94,37.2,28,35,80.0,20,64,84,71,40,34,16,70,580,0,0,95
Drew Eubanks,LAC,28,54,18,36,697.3,258,105,177,59.3,3,6,50.0,45,69,65.2,55,156,211,50,37,11,37,57,693,0,0,-132
KJ Martin,UTA,24,41,11,30,861.8,256,103,185,55.7,14,51,27.5,36,46,78.3,29,91,120,44,22,16,22,99,558,0,0,-125
Jeff Dowtin Jr.,PHI,27,39,9,30,562.4,253,100,204,49.0,24,61,39.3,29,39,74.4,12,48,60,72,14,20,11,27,512,0,0,-113
DaQuan Jeffries,CHA,27,38,8,30,831.4,251,94,229,41.0,44,127,34.6,19,23,82.6,30,74,104,42,27,21,22,86,541,0,0,-152
Jaylin Williams,OKC,22,43,36,7,722.0,251,88,203,43.3,54,141,38.3,21,28,75.0,44,199,243,106,30,19,27,72,810,3,2,261
Ben Simmons,LAC,28,45,21,24,1036.9,250,113,215,52.6,0,0,0.0,24,33,72.7,43,181,224,270,96,37,22,99,1005,1,0,-46
Karlo Matkovi,NOP,23,36,11,25,654.7,247,101,177,57.1,16,46,34.8,29,37,78.4,59,115,174,37,38,17,36,90,632,3,0,-77
Brandon Williams,DAL,25,30,13,17,441.9,246,88,170,51.8,22,57,38.6,48,57,84.2,11,41,52,70,34,22,3,29,454,0,0,3
Jabari Walker,POR,22,52,19,33,597.5,241,91,180,50.6,23,60,38.3,36,54,66.7,51,127,178,31,25,28,6,73,578,1,0,4
Kris Murray,POR,24,61,27,34,861.2,238,98,227,43.2,23,95,24.2,19,46,41.3,64,85,149,52,34,31,13,55,593,0,0,-55
Orlando Robinson,TOR,24,38,20,18,627.9,238,91,208,43.8,11,35,31.4,45,58,77.6,71,115,186,61,41,15,14,80,599,4,0,-106
Bol Bol,PHX,25,33,10,23,432.7,237,93,178,52.2,31,90,34.4,20,26,76.9,19,84,103,20,18,9,25,20,475,1,0,-29
Lindy Waters III,DET,27,48,26,22,704.2,232,84,224,37.5,56,164,34.1,8,11,72.7,17,82,99,47,20,25,10,58,506,0,0,19
Jett Howard,ORL,21,56,26,30,626.2,231,83,234,35.5,50,169,29.6,15,20,75.0,20,45,65,41,27,13,10,59,413,0,0,-86
Cody Williams,UTA,20,50,9,41,1059.6,230,83,257,32.3,35,135,25.9,29,40,72.5,27,86,113,59,44,23,16,95,527,0,0,-339
Josh Okogie,CHA,26,33,11,22,515.0,223,79,169,46.7,25,66,37.9,40,55,72.7,41,56,97,25,25,41,15,40,520,1,0,18
Richaun Holmes,WAS,31,29,8,21,516.3,220,85,133,63.9,0,3,0.0,50,60,83.3,60,109,169,42,21,8,22,47,555,3,0,-33
Ajay Mitchell,OKC,22,34,29,5,561.2,218,84,166,50.6,22,51,43.1,28,33,84.8,17,50,67,57,28,24,3,59,437,1,0,114
Rob Dillingham,MIN,20,44,25,19,504.1,217,92,207,44.4,25,73,34.2,8,15,53.3,12,37,49,96,51,19,1,37,429,0,0,10
Tristan Vukcevic,WAS,22,28,5,23,341.4,215,78,160,48.8,25,74,33.8,34,44,77.3,19,72,91,28,25,11,16,39,422,0,0,-71
Andre Jackson Jr.,MIL,23,61,34,27,914.9,214,87,185,47.0,29,74,39.2,11,20,55.0,61,111,172,77,53,33,13,109,621,0,0,-26
Gui Santos,GSW,22,48,30,18,660.0,210,76,157,48.4,33,91,36.3,25,36,69.4,56,91,147,64,37,19,9,78,529,0,0,125
Mont Morris,PHX,29,42,21,21,533.3,208,73,179,40.8,26,79,32.9,36,42,85.7,11,49,60,67,18,19,3,21,429,0,0,67
Herbert Jones,NOP,26,20,5,15,648.1,205,75,172,43.6,22,72,30.6,33,40,82.5,22,56,78,65,35,37,9,66,499,0,0,-20
